,Time,LeftDuration,RightDuration,TotalDuration,Resource,longestTimeBtwnFeeds,# of Night Feeds,# of Night Wakes,EndTime,DateOnly,DateString,Time_SameDate,EndTime_SameDate,Daydifference,Time_SameDate2,EndTime_SameDate2,AgeInWeeks
25,2017-08-04 12:50:00,8.0,12.0,20.0,Nursing,,,,2017-08-04 13:10:00,2017-08-04,2017-08-04,2019-01-01 12:50:00,2019-01-01 13:10:00,2 days,2017-08-02 12:50:00,2017-08-02 13:10:00,0.0
26,2017-08-04 13:50:00,,,116.0,Sleep,,,,2017-08-04 15:46:00,2017-08-04,2017-08-04,2019-01-01 13:50:00,2019-01-01 15:46:00,2 days,2017-08-02 13:50:00,2017-08-02 15:46:00,0.0
27,2017-08-04 15:56:00,20.0,15.0,35.0,Nursing,,,,2017-08-04 16:31:00,2017-08-04,2017-08-04,2019-01-01 15:56:00,2019-01-01 16:31:00,2 days,2017-08-02 15:56:00,2017-08-02 16:31:00,0.0
28,2017-08-04 18:05:00,15.0,10.0,25.0,Nursing,,,,2017-08-04 18:30:00,2017-08-04,2017-08-04,2019-01-01 18:05:00,2019-01-01 18:30:00,2 days,2017-08-02 18:05:00,2017-08-02 18:30:00,0.0
29,2017-08-04 18:51:00,,,84.0,Sleep,,,,2017-08-04 20:15:00,2017-08-04,2017-08-04,2019-01-01 18:51:00,2019-01-01 20:15:00,2 days,2017-08-02 18:51:00,2017-08-02 20:15:00,0.0
30,2017-08-04 20:39:00,,,46.0,Sleep,,,,2017-08-04 21:25:00,2017-08-04,2017-08-04,2019-01-01 20:39:00,2019-01-01 21:25:00,2 days,2017-08-02 20:39:00,2017-08-02 21:25:00,0.0
31,2017-08-04 21:29:00,0.0,13.0,13.0,Nursing,166.0,4.0,4.0,2017-08-04 21:42:00,2017-08-04,2017-08-04,2019-01-01 21:29:00,2019-01-01 21:42:00,2 days,2017-08-02 21:29:00,2017-08-02 21:42:00,0.0
32,2017-08-04 21:45:00,,,150.0,Sleep,,,,2017-08-05 00:15:00,2017-08-04,2017-08-04,2019-01-01 21:45:00,2019-01-01 00:15:00,2 days,2017-08-02 21:45:00,2017-08-03 00:00:00,0.0
33,,,,,Sleep,,,,,,2017-08-05,,,,2017-08-02 00:00:00,2017-08-02 00:15:00,
34,2017-08-05 00:15:00,22.0,7.0,29.0,Nursing,,,,2017-08-05 00:44:00,2017-08-05,2017-08-05,2019-01-01 00:15:00,2019-01-01 00:44:00,3 days,2017-08-02 00:15:00,2017-08-02 00:44:00,0.0
35,2017-08-05 01:00:00,,,15.0,Mixed,,,,2017-08-05 01:15:00,2017-08-05,2017-08-05,2019-01-01 01:00:00,2019-01-01 01:15:00,3 days,2017-08-02 01:00:00,2017-08-02 01:15:00,0.0
36,2017-08-05 01:45:00,,,29.0,Sleep,,,,2017-08-05 02:14:00,2017-08-05,2017-08-05,2019-01-01 01:45:00,2019-01-01 02:14:00,3 days,2017-08-02 01:45:00,2017-08-02 02:14:00,0.0
37,2017-08-05 02:43:00,13.0,19.0,32.0,Nursing,,,,2017-08-05 03:15:00,2017-08-05,2017-08-05,2019-01-01 02:43:00,2019-01-01 03:15:00,3 days,2017-08-02 02:43:00,2017-08-02 03:15:00,0.0
