Time,Start Side,Left duration,Right duration,TotalDuration,Resource
"4/1/18, 5:35 AM",Left,17,7,24,Nursing
"4/1/18, 8:12 AM",Right,6,9,15,Nursing
"4/1/18, 11:39 AM",Right,10,18,28,Nursing
"4/1/18, 2:37 PM",Left,12,7,19,Nursing
"4/1/18, 7:15 PM",Left,12,4,16,Nursing
"4/2/18, 5:34 AM",Left,11,12,23,Nursing
"4/2/18, 6:40 PM",Left,12,8,20,Nursing
"4/3/18, 4:50 AM",Left,11,20,31,Nursing
"4/3/18, 7:39 AM",Left,8,3,11,Nursing
"4/3/18, 6:51 PM",Left,19,12,31,Nursing
"4/4/18, 7:06 AM",Left,12,9,21,Nursing
"4/5/18, 6:57 AM",Left,23,13,36,Nursing
"4/5/18, 7:13 PM",Left,15,30,45,Nursing
"4/6/18, 7:14 AM",Left,13,2,15,Nursing
"4/6/18, 6:53 PM",Left,13,8,21,Nursing
"4/7/18, 6:13 AM",Left,9,18,27,Nursing
"4/7/18, 9:45 AM",Left,1,0,1,Nursing
"4/7/18, 9:46 AM",Left,8,6,14,Nursing
"4/7/18, 12:13 PM",Left,8,9,17,Nursing
"4/7/18, 2:28 PM",Left,5,4,9,Nursing
"4/7/18, 4:17 PM",Left,8,13,21,Nursing
"4/7/18, 6:49 PM",Right,9,8,17,Nursing
"4/8/18, 5:15 AM",Left,9,7,16,Nursing
"4/8/18, 8:17 AM",Left,9,12,21,Nursing
"4/8/18, 12:01 PM",Right,10,9,19,Nursing
"4/8/18, 2:47 PM",Left,8,4,12,Nursing
"4/8/18, 6:56 PM",Left,12,9,21,Nursing
"4/9/18, 1:54 AM",Left,5,13,18,Nursing
"4/9/18, 7:04 AM",Left,9,11,20,Nursing
"4/9/18, 6:40 PM",Left,15,10,25,Nursing
"4/10/18, 4:45 AM",Left,14,7,21,Nursing
"4/10/18, 8:24 AM",Left,13,9,22,Nursing
"4/10/18, 11:30 AM",Right,7,7,14,Nursing
"4/10/18, 1:23 PM",Right,8,8,16,Nursing
"4/10/18, 3:49 PM",Left,7,9,16,Nursing
"4/10/18, 6:48 PM",Left,7,7,14,Nursing
"4/11/18, 1:24 AM",Left,14,7,21,Nursing
"4/11/18, 6:07 AM",Left,9,9,18,Nursing
"4/12/18, 2:39 AM",Left,10,0,10,Nursing
"4/12/18, 5:51 AM",Right,0,22,22,Nursing
"4/13/18, 1:28 AM",Left,14,9,23,Nursing
"4/13/18, 6:02 AM",Left,20,9,29,Nursing
"4/14/18, 2:54 AM",Left,9,13,22,Nursing
"4/14/18, 6:16 AM",Left,9,9,18,Nursing
"4/14/18, 9:07 AM",Right,7,7,14,Nursing
"4/14/18, 12:08 PM",Left,11,9,20,Nursing
"4/14/18, 4:20 PM",Left,12,17,29,Nursing
"4/15/18, 6:19 AM",Left,10,9,19,Nursing
"4/15/18, 8:13 AM",Right,5,9,14,Nursing
"4/15/18, 10:06 AM",Left,5,5,10,Nursing
"4/15/18, 4:31 PM",Left,9,19,28,Nursing
