Time,Start Side,Left duration,Right duration,TotalDuration,Resource
"4/15/18, 7:06 PM",Right,8,8,16,Nursing
"4/16/18, 7:14 AM",Left,9,10,19,Nursing
"4/16/18, 6:34 PM",Left,10,0,10,Nursing
"4/17/18, 1:11 AM",Left,12,15,27,Nursing
"4/17/18, 6:01 AM",Left,10,8,18,Nursing
"4/17/18, 5:51 PM",Left,10,8,18,Nursing
"4/18/18, 3:44 AM",Left,8,9,17,Nursing
"4/18/18, 6:35 AM",Left,12,12,24,Nursing
"4/18/18, 11:08 PM",Left,8,11,19,Nursing
"4/19/18, 7:40 AM",Left,7,4,11,Nursing
"4/20/18, 7:23 AM",Left,8,9,17,Nursing
"4/21/18, 7:12 AM",Left,10,12,22,Nursing
"4/21/18, 2:12 PM",Left,14,15,29,Nursing
"4/22/18, 7:07 AM",Left,10,12,22,Nursing
"4/22/18, 7:50 AM",Left,7,7,14,Nursing
"4/22/18, 11:16 AM",Left,3,8,11,Nursing
"4/22/18, 3:51 PM",Left,9,5,14,Nursing
"4/22/18, 6:17 PM",Left,7,7,14,Nursing
"4/23/18, 7:14 AM",Left,11,10,21,Nursing
"4/24/18, 6:42 AM",Left,9,14,23,Nursing
"4/25/18, 7:28 AM",Left,10,15,25,Nursing
"4/26/18, 7:13 AM",Left,13,10,23,Nursing
"4/27/18, 7:17 AM",Left,11,5,16,Nursing
"4/27/18, 3:14 PM",Left,3,6,9,Nursing
"4/27/18, 7:55 PM",Left,4,8,12,Nursing
"4/28/18, 6:16 AM",Left,6,15,21,Nursing
"4/28/18, 8:34 AM",Left,9,0,9,Nursing
"4/28/18, 1:42 PM",Left,7,21,28,Nursing
"4/28/18, 7:49 PM",Left,9,15,24,Nursing
"4/29/18, 6:45 AM",Right,14,11,25,Nursing
"4/29/18, 5:17 PM",Left,10,0,10,Nursing
"4/30/18, 6:56 AM",Left,10,4,14,Nursing
"4/1/18, 6:00 AM",,,,110,Sleep
"4/1/18, 10:14 AM",,,,1,Sleep
"4/1/18, 11:10 AM",,,,23,Sleep
"4/1/18, 1:29 PM",,,,59,Sleep
"4/1/18, 4:47 PM",,,,54,Sleep
"4/1/18, 8:18 PM",,,,556,Sleep
"4/2/18, 5:58 AM",,,,32,Sleep
"4/2/18, 10:35 AM",,,,70,Sleep
"4/2/18, 2:20 PM",,,,79,Sleep
"4/2/18, 7:32 PM",,,,558,Sleep
"4/3/18, 5:25 AM",,,,105,Sleep
"4/3/18, 10:00 AM",,,,40,Sleep
"4/3/18, 3:20 PM",,,,30,Sleep
"4/3/18, 8:15 PM",,,,440,Sleep
"4/4/18, 4:45 AM",,,,105,Sleep
"4/4/18, 10:45 AM",,,,25,Sleep
"4/4/18, 4:15 PM",,,,45,Sleep
"4/4/18, 7:38 PM",,,,641,Sleep
"4/5/18, 10:10 AM",,,,30,Sleep
"4/5/18, 4:20 PM",,,,30,Sleep
"4/5/18, 8:00 PM",,,,629,Sleep
"4/6/18, 9:50 AM",,,,50,Sleep
"4/6/18, 2:50 PM",,,,24,Sleep
"4/6/18, 7:51 PM",,,,621,Sleep
"4/7/18, 6:44 AM",,,,106,Sleep
"4/7/18, 10:21 AM",,,,96,Sleep
"4/7/18, 2:31 PM",,,,96,Sleep
"4/7/18, 5:50 PM",,,,23,Sleep
"4/7/18, 7:50 PM",,,,564,Sleep
"4/8/18, 5:31 AM",,,,125,Sleep
"4/8/18, 10:11 AM",,,,7,Sleep
"4/8/18, 11:15 AM",,,,33,Sleep
"4/8/18, 2:06 PM",,,,23,Sleep
"4/8/18, 3:41 PM",,,,77,Sleep
"4/8/18, 8:03 PM",,,,351,Sleep
"4/9/18, 2:13 AM",,,,250,Sleep
"4/9/18, 11:50 AM",,,,20,Sleep
"4/9/18, 3:14 PM",,,,71,Sleep
"4/9/18, 7:29 PM",,,,540,Sleep
"4/10/18, 6:40 AM",,,,65,Sleep
"4/10/18, 9:35 AM",,,,105,Sleep
"4/10/18, 12:46 PM",,,,37,Sleep
"4/10/18, 2:59 PM",,,,39,Sleep
"4/10/18, 5:02 PM",,,,29,Sleep
"4/10/18, 7:45 PM",,,,338,Sleep
"4/11/18, 1:46 AM",,,,260,Sleep
"4/11/18, 9:45 AM",,,,30,Sleep
"4/11/18, 1:00 PM",,,,40,Sleep
"4/11/18, 4:20 PM",,,,40,Sleep
"4/11/18, 7:45 PM",,,,414,Sleep
"4/12/18, 2:49 AM",,,,181,Sleep
"4/12/18, 6:13 AM",,,,62,Sleep
"4/12/18, 10:45 AM",,,,20,Sleep
"4/12/18, 3:05 PM",,,,85,Sleep
"4/12/18, 7:35 PM",,,,352,Sleep
"4/13/18, 1:50 AM",,,,252,Sleep
"4/13/18, 6:32 AM",,,,42,Sleep
"4/13/18, 10:45 AM",,,,60,Sleep
"4/13/18, 3:45 PM",,,,25,Sleep
"4/13/18, 7:43 PM",,,,415,Sleep
"4/14/18, 3:07 AM",,,,188,Sleep
"4/14/18, 6:38 AM",,,,99,Sleep
"4/14/18, 10:14 AM",,,,108,Sleep
"4/14/18, 2:41 PM",,,,49,Sleep
"4/14/18, 6:42 PM",,,,228,Sleep
"4/14/18, 10:50 PM",,,,449,Sleep
"4/15/18, 6:43 AM",,,,43,Sleep
"4/15/18, 9:00 AM",,,,56,Sleep
"4/15/18, 1:14 PM",,,,25,Sleep
"4/15/18, 2:55 PM",,,,62,Sleep
"4/15/18, 7:49 PM",,,,656,Sleep
"4/16/18, 12:10 PM",,,,30,Sleep
"4/16/18, 5:35 PM",,,,25,Sleep
"4/16/18, 7:08 PM",,,,363,Sleep
"4/17/18, 1:39 AM",,,,261,Sleep
"4/17/18, 6:35 AM",,,,95,Sleep
"4/17/18, 9:45 AM",,,,57,Sleep
"4/17/18, 12:30 PM",,,,40,Sleep
"4/17/18, 3:36 PM",,,,47,Sleep
"4/17/18, 6:50 PM",,,,534,Sleep
"4/18/18, 4:00 AM",,,,122,Sleep
"4/18/18, 7:40 AM",,,,22,Sleep
"4/18/18, 12:20 PM",,,,30,Sleep
"4/18/18, 4:00 PM",,,,59,Sleep
"4/18/18, 7:37 PM",,,,210,Sleep
"4/18/18, 11:27 PM",,,,332,Sleep
"4/19/18, 5:40 AM",,,,110,Sleep
"4/19/18, 12:00 PM",,,,35,Sleep
"4/19/18, 3:10 PM",,,,50,Sleep
"4/19/18, 7:54 PM",,,,651,Sleep
"4/20/18, 11:45 AM",,,,35,Sleep
"4/20/18, 7:29 PM",,,,652,Sleep
"4/21/18, 7:48 AM",,,,108,Sleep
"4/21/18, 1:10 PM",,,,55,Sleep
"4/21/18, 4:45 PM",,,,30,Sleep
"4/21/18, 7:34 PM",,,,651,Sleep
"4/22/18, 8:23 AM",,,,26,Sleep
"4/22/18, 12:13 PM",,,,47,Sleep
"4/22/18, 3:23 PM",,,,25,Sleep
"4/22/18, 7:13 PM",,,,557,Sleep
"4/23/18, 4:43 AM",,,,124,Sleep
"4/23/18, 11:50 AM",,,,9,Sleep
"4/23/18, 2:25 PM",,,,40,Sleep
"4/23/18, 7:51 PM",,,,219,Sleep
"4/24/18, 12:00 AM",,,,359,Sleep
"4/24/18, 11:15 AM",,,,30,Sleep
"4/24/18, 2:00 PM",,,,90,Sleep
"4/24/18, 7:10 PM",,,,179,Sleep
"4/24/18, 10:30 PM",,,,492,Sleep
"4/25/18, 10:00 AM",,,,29,Sleep
"4/25/18, 4:15 PM",,,,20,Sleep
"4/25/18, 8:00 PM",,,,634,Sleep
"4/26/18, 9:55 AM",,,,30,Sleep
"4/26/18, 2:20 PM",,,,40,Sleep
"4/26/18, 7:40 PM",,,,691,Sleep
"4/27/18, 10:19 AM",,,,0,Sleep
"4/27/18, 10:20 AM",,,,33,Sleep
"4/27/18, 2:14 PM",,,,38,Sleep
"4/27/18, 5:36 PM",,,,29,Sleep
"4/27/18, 8:31 PM",,,,583,Sleep
"4/28/18, 7:40 AM",,,,49,Sleep
"4/28/18, 11:52 AM",,,,35,Sleep
"4/28/18, 3:36 PM",,,,110,Sleep
"4/28/18, 9:30 PM",,,,554,Sleep
"4/29/18, 8:25 AM",,,,35,Sleep
"4/29/18, 12:15 PM",,,,44,Sleep
"4/29/18, 3:40 PM",,,,29,Sleep
"4/29/18, 7:00 PM",,,,35,Sleep
"4/29/18, 8:11 PM",,,,644,Sleep
"4/30/18, 11:00 AM",,,,35,Sleep
"4/30/18, 2:30 PM",,,,90,Sleep
"4/30/18, 7:50 PM",,,,379,Sleep
"5/1/18, 3:00 AM",,,,230,Sleep
"4/1/18, 3:21 PM",,,,15,BottleFormula
"4/1/18, 7:51 PM",,,,15,BottleFormula
"4/1/18, 8:18 PM",,,,15,BottleFormula
"4/2/18, 7:01 AM",,,,15,BottleFormula
"4/2/18, 2:03 PM",,,,15,BottleFormula
"4/2/18, 3:40 PM",,,,15,BottleFormula
"4/3/18, 2:05 PM",,,,15,BottleFormula
"4/3/18, 4:30 PM",,,,15,BottleFormula
"4/3/18, 8:19 PM",,,,15,BottleFormula
"4/4/18, 11:30 AM",,,,15,BottleFormula
"4/4/18, 2:10 PM",,,,15,BottleFormula
"4/4/18, 2:30 PM",,,,15,BottleFormula
"4/4/18, 5:00 PM",,,,15,BottleFormula
"4/4/18, 7:38 PM",,,,15,BottleFormula
"4/5/18, 2:10 PM",,,,15,BottleFormula
"4/5/18, 5:05 PM",,,,15,BottleFormula
"4/5/18, 7:42 PM",,,,15,BottleFormula
"4/6/18, 2:00 PM",,,,15,BottleFormula
"4/6/18, 4:45 PM",,,,15,BottleFormula
"4/6/18, 7:30 PM",,,,15,BottleFormula
"4/7/18, 2:28 PM",,,,15,BottleFormula
"4/7/18, 7:40 PM",,,,15,BottleFormula
"4/8/18, 1:18 PM",,,,15,BottleFormula
"4/8/18, 3:23 PM",,,,15,BottleFormula
"4/9/18, 2:20 PM",,,,15,BottleFormula
"4/9/18, 5:19 PM",,,,15,BottleFormula
"4/9/18, 7:21 PM",,,,15,BottleFormula
"4/10/18, 6:06 AM",,,,15,BottleFormula
"4/10/18, 7:30 PM",,,,15,BottleFormula
"4/11/18, 2:15 PM",,,,15,BottleFormula
"4/11/18, 5:05 PM",,,,15,BottleFormula
"4/11/18, 6:36 PM",,,,15,BottleFormula
"4/12/18, 12:00 PM",,,,15,BottleFormula
"4/12/18, 2:05 PM",,,,15,BottleFormula
"4/12/18, 4:55 PM",,,,15,BottleFormula
"4/12/18, 6:17 PM",,,,15,BottleFormula
"4/12/18, 7:05 PM",,,,15,BottleFormula
"4/12/18, 7:15 PM",,,,15,BottleFormula
"4/13/18, 2:10 PM",,,,15,BottleFormula
"4/13/18, 4:40 PM",,,,15,BottleFormula
"4/13/18, 7:00 PM",,,,15,BottleFormula
"4/13/18, 7:22 PM",,,,15,BottleFormula
"4/14/18, 9:42 AM",,,,15,BottleFormula
"4/14/18, 12:49 PM",,,,15,BottleFormula
"4/14/18, 6:15 PM",,,,15,BottleFormula
"4/14/18, 10:30 PM",,,,15,BottleFormula
"4/15/18, 8:45 AM",,,,15,BottleFormula
"4/15/18, 12:28 PM",,,,15,BottleFormula
"4/15/18, 12:43 PM",,,,15,BottleFormula
"4/15/18, 2:24 PM",,,,15,BottleFormula
"4/15/18, 2:25 PM",,,,15,BottleFormula
"4/15/18, 5:43 PM",,,,15,BottleFormula
"4/15/18, 7:30 PM",,,,15,BottleFormula
"4/16/18, 11:30 AM",,,,15,BottleFormula
"4/16/18, 2:20 PM",,,,15,BottleFormula
"4/16/18, 5:00 PM",,,,15,BottleFormula
"4/17/18, 6:27 AM",,,,15,BottleFormula
"4/17/18, 1:51 PM",,,,15,BottleFormula
"4/17/18, 4:45 PM",,,,15,BottleFormula
"4/17/18, 6:15 PM",,,,15,BottleFormula
"4/18/18, 11:40 AM",,,,15,BottleFormula
"4/18/18, 2:10 PM",,,,15,BottleFormula
"4/18/18, 2:46 PM",,,,15,BottleFormula
"4/18/18, 5:30 PM",,,,15,BottleFormula
"4/18/18, 7:33 PM",,,,15,BottleFormula
"4/19/18, 2:00 PM",,,,15,BottleFormula
"4/19/18, 4:30 PM",,,,15,BottleFormula
"4/19/18, 5:00 PM",,,,15,BottleFormula
"4/19/18, 6:35 PM",,,,15,BottleFormula
"4/19/18, 7:54 PM",,,,15,BottleFormula
"4/20/18, 2:50 PM",,,,15,BottleFormula
"4/20/18, 4:30 PM",,,,15,BottleFormula
"4/20/18, 7:25 PM",,,,15,BottleFormula
"4/21/18, 10:00 AM",,,,15,BottleFormula
"4/21/18, 6:00 PM",,,,15,BottleFormula
"4/21/18, 6:16 PM",,,,15,BottleFormula
"4/21/18, 7:09 PM",,,,15,BottleFormula
"4/22/18, 1:06 PM",,,,15,BottleFormula
"4/22/18, 5:00 PM",,,,15,BottleFormula
"4/22/18, 7:00 PM",,,,15,BottleFormula
"4/23/18, 2:15 PM",,,,15,BottleFormula
"4/23/18, 4:30 PM",,,,15,BottleFormula
"4/23/18, 6:55 PM",,,,15,BottleFormula
"4/24/18, 7:15 AM",,,,15,BottleFormula
"4/24/18, 4:00 PM",,,,15,BottleFormula
"4/24/18, 6:59 PM",,,,15,BottleFormula
"4/25/18, 2:10 PM",,,,15,BottleFormula
"4/25/18, 5:00 PM",,,,15,BottleFormula
"4/25/18, 7:30 PM",,,,15,BottleFormula
"4/26/18, 2:00 PM",,,,15,BottleFormula
"4/26/18, 4:30 PM",,,,15,BottleFormula
"4/26/18, 7:20 PM",,,,15,BottleFormula
"4/27/18, 7:57 AM",,,,15,BottleFormula
"4/27/18, 11:32 AM",,,,15,BottleFormula
"4/27/18, 6:15 PM",,,,15,BottleFormula
"4/28/18, 10:40 AM",,,,15,BottleFormula
"4/28/18, 5:49 PM",,,,15,BottleFormula
"4/29/18, 9:17 AM",,,,15,BottleFormula
"4/29/18, 1:32 PM",,,,15,BottleFormula
"4/29/18, 7:39 PM",,,,15,BottleFormula
"4/30/18, 2:54 PM",,,,15,BottleFormula
"4/30/18, 4:30 PM",,,,15,BottleFormula
"4/30/18, 4:55 PM",,,,15,BottleFormula
"4/30/18, 7:44 PM",,,,15,BottleFormula
"4/30/18, 9:01 PM",,,,15,BottleFormula
"4/30/18, 11:30 PM",,,,15,BottleFormula
"4/2/18, 9:00 AM",,,,15,BottlePumped
"4/2/18, 12:10 PM",,,,15,BottlePumped
"4/3/18, 9:04 AM",,,,15,BottlePumped
"4/3/18, 11:40 AM",,,,15,BottlePumped
"4/4/18, 9:15 AM",,,,15,BottlePumped
"4/4/18, 11:30 AM",,,,15,BottlePumped
"4/5/18, 9:20 AM",,,,15,BottlePumped
"4/5/18, 11:45 AM",,,,15,BottlePumped
"4/6/18, 9:15 AM",,,,15,BottlePumped
"4/6/18, 11:45 AM",,,,15,BottlePumped
"4/9/18, 9:39 AM",,,,15,BottlePumped
"4/9/18, 11:20 AM",,,,15,BottlePumped
"4/10/18, 9:06 AM",,,,15,BottlePumped
"4/10/18, 12:00 PM",,,,15,BottlePumped
"4/10/18, 2:30 PM",,,,15,BottlePumped
"4/10/18, 4:00 PM",,,,15,BottlePumped
"4/10/18, 6:28 PM",,,,15,BottlePumped
"4/11/18, 9:00 AM",,,,15,BottlePumped
"4/11/18, 11:35 AM",,,,15,BottlePumped
"4/11/18, 2:50 PM",,,,15,BottlePumped
"4/12/18, 9:00 AM",,,,15,BottlePumped
"4/13/18, 9:00 AM",,,,15,BottlePumped
"4/13/18, 12:10 PM",,,,15,BottlePumped
"4/16/18, 9:00 AM",,,,15,BottlePumped
"4/17/18, 8:51 AM",,,,15,BottlePumped
"4/17/18, 11:19 AM",,,,15,BottlePumped
"4/17/18, 11:20 AM",,,,15,BottlePumped
"4/17/18, 1:26 PM",,,,15,BottlePumped
"4/17/18, 2:19 PM",,,,15,BottlePumped
"4/18/18, 9:00 AM",,,,15,BottlePumped
"4/19/18, 9:30 AM",,,,15,BottlePumped
"4/19/18, 11:30 AM",,,,15,BottlePumped
"4/20/18, 9:10 AM",,,,15,BottlePumped
"4/20/18, 11:30 AM",,,,15,BottlePumped
"4/23/18, 9:15 AM",,,,15,BottlePumped
"4/23/18, 11:35 AM",,,,15,BottlePumped
"4/24/18, 9:10 AM",,,,15,BottlePumped
"4/24/18, 12:15 PM",,,,15,BottlePumped
"4/25/18, 9:15 AM",,,,15,BottlePumped
"4/25/18, 11:46 AM",,,,15,BottlePumped
"4/26/18, 9:00 AM",,,,15,BottlePumped
"4/26/18, 11:30 AM",,,,15,BottlePumped
"4/1/18, 5:52 AM",,,,15,Wet
"4/1/18, 8:36 AM",,,,15,Wet
"4/1/18, 1:06 PM",,,,15,Wet
"4/1/18, 2:37 PM",,,,15,Wet
"4/1/18, 3:07 PM",,,,15,Wet
"4/1/18, 5:52 PM",,,,15,Wet
"4/1/18, 8:00 PM",,,,15,Wet
"4/2/18, 5:45 AM",,,,15,Wet
"4/2/18, 8:30 AM",,,,15,Wet
"4/2/18, 12:00 PM",,,,15,Wet
"4/2/18, 2:00 PM",,,,15,Wet
"4/2/18, 4:00 PM",,,,15,Wet
"4/3/18, 5:01 AM",,,,15,Wet
"4/3/18, 7:39 AM",,,,15,Wet
"4/3/18, 9:30 AM",,,,15,Wet
"4/3/18, 11:30 AM",,,,15,Wet
"4/3/18, 1:30 PM",,,,15,Wet
"4/3/18, 3:07 PM",,,,15,Wet
"4/3/18, 4:07 PM",,,,15,Mixed
"4/3/18, 6:50 PM",,,,15,Wet
"4/4/18, 3:35 AM",,,,15,Wet
"4/4/18, 6:48 AM",,,,15,Wet
"4/4/18, 10:00 AM",,,,15,Wet
"4/4/18, 12:00 PM",,,,15,Wet
"4/4/18, 2:00 PM",,,,15,Wet
"4/4/18, 4:00 PM",,,,15,Mixed
"4/4/18, 6:44 PM",,,,15,Wet
"4/5/18, 6:57 AM",,,,15,Wet
"4/5/18, 10:00 AM",,,,15,Wet
"4/5/18, 12:07 PM",,,,15,Wet
"4/5/18, 2:30 PM",,,,15,Wet
"4/5/18, 5:07 PM",,,,15,Wet
"4/5/18, 7:30 PM",,,,15,Mixed
"4/6/18, 6:31 AM",,,,15,Wet
"4/6/18, 7:41 AM",,,,15,Wet
"4/6/18, 10:00 AM",,,,15,Wet
"4/6/18, 12:00 PM",,,,15,Wet
"4/6/18, 2:00 PM",,,,15,Wet
"4/6/18, 4:00 PM",,,,15,Wet
"4/6/18, 6:54 PM",,,,15,Wet
"4/7/18, 6:39 AM",,,,15,Wet
"4/7/18, 8:45 AM",,,,15,Wet
"4/7/18, 10:21 AM",,,,15,Mixed
"4/7/18, 12:13 PM",,,,15,Wet
"4/7/18, 4:17 PM",,,,15,Wet
"4/7/18, 6:49 PM",,,,15,Wet
"4/8/18, 5:15 AM",,,,15,Wet
"4/8/18, 2:47 PM",,,,15,Wet
"4/8/18, 4:59 PM",,,,15,Dry
"4/8/18, 7:23 PM",,,,15,Mixed
"4/9/18, 6:31 AM",,,,15,Wet
"4/9/18, 10:30 AM",,,,15,Wet
"4/9/18, 12:30 PM",,,,15,Wet
"4/9/18, 2:41 PM",,,,15,Wet
"4/9/18, 4:30 PM",,,,15,Wet
"4/9/18, 6:04 PM",,,,15,Wet
"4/10/18, 4:59 AM",,,,15,Wet
"4/10/18, 9:10 AM",,,,15,Wet
"4/10/18, 11:30 AM",,,,15,Wet
"4/10/18, 2:17 PM",,,,15,Mixed
"4/10/18, 3:48 PM",,,,15,Wet
"4/10/18, 7:10 PM",,,,15,Wet
"4/11/18, 1:38 AM",,,,15,Wet
"4/11/18, 7:01 AM",,,,15,Wet
"4/11/18, 11:00 AM",,,,15,Wet
"4/11/18, 1:30 PM",,,,15,Wet
"4/11/18, 3:30 PM",,,,15,Wet
"4/11/18, 5:00 PM",,,,15,Wet
"4/12/18, 7:19 AM",,,,15,Wet
"4/12/18, 6:40 PM",,,,15,Wet
"4/13/18, 7:15 AM",,,,15,Wet
"4/13/18, 5:30 PM",,,,15,Wet
"4/13/18, 6:30 PM",,,,15,Wet
"4/14/18, 6:16 AM",,,,15,Wet
"4/14/18, 8:20 AM",,,,15,Wet
"4/14/18, 10:15 AM",,,,15,Mixed
"4/14/18, 12:08 PM",,,,15,Wet
"4/14/18, 4:32 PM",,,,15,Wet
"4/14/18, 6:03 PM",,,,15,Dry
"4/14/18, 6:30 PM",,,,15,Wet
"4/15/18, 6:39 AM",,,,15,Wet
"4/15/18, 8:40 AM",,,,15,Wet
"4/15/18, 10:06 AM",,,,15,Wet
"4/15/18, 11:14 AM",,,,15,Wet
"4/15/18, 2:50 PM",,,,15,Wet
"4/15/18, 4:57 PM",,,,15,Mixed
"4/15/18, 7:07 PM",,,,15,Wet
"4/15/18, 7:35 PM",,,,15,Mixed
"4/16/18, 7:01 AM",,,,15,Wet
"4/16/18, 5:35 PM",,,,15,Wet
"4/16/18, 6:46 PM",,,,15,Wet
"4/17/18, 6:01 AM",,,,15,Wet
"4/17/18, 9:45 AM",,,,15,Wet
"4/17/18, 12:23 PM",,,,15,Mixed
"4/17/18, 4:45 PM",,,,15,Mixed
"4/17/18, 5:51 PM",,,,15,Wet
"4/18/18, 6:03 AM",,,,15,Wet
"4/18/18, 10:00 AM",,,,15,Wet
"4/18/18, 12:30 PM",,,,15,Wet
"4/18/18, 2:30 PM",,,,15,Wet
"4/18/18, 5:00 PM",,,,15,Wet
"4/18/18, 7:00 PM",,,,15,Wet
"4/19/18, 8:08 AM",,,,15,Wet
"4/19/18, 6:22 PM",,,,15,Wet
"4/19/18, 7:54 PM",,,,15,Wet
"4/20/18, 6:51 AM",,,,15,Wet
"4/20/18, 11:00 AM",,,,15,Wet
"4/20/18, 1:00 PM",,,,15,Wet
"4/20/18, 3:30 PM",,,,15,Wet
"4/20/18, 5:00 PM",,,,15,Wet
"4/20/18, 7:00 PM",,,,15,Wet
"4/21/18, 6:35 AM",,,,15,Wet
"4/21/18, 10:15 AM",,,,15,Mixed
"4/21/18, 2:12 PM",,,,15,Wet
"4/21/18, 7:30 PM",,,,15,Wet
"4/22/18, 6:39 AM",,,,15,Wet
"4/22/18, 8:59 AM",,,,15,Wet
"4/22/18, 1:06 PM",,,,15,Wet
"4/22/18, 4:10 PM",,,,15,Wet
"4/22/18, 5:25 PM",,,,15,Wet
"4/22/18, 6:39 PM",,,,15,Wet
"4/23/18, 4:43 AM",,,,15,Wet
"4/23/18, 7:47 AM",,,,15,Dry
"4/23/18, 8:15 AM",,,,15,Dirty
"4/23/18, 10:00 AM",,,,15,Wet
"4/23/18, 12:30 PM",,,,15,Mixed
"4/23/18, 3:30 PM",,,,15,Wet
"4/23/18, 11:42 PM",,,,15,Wet
"4/24/18, 7:21 AM",,,,15,Wet
"4/24/18, 10:30 AM",,,,15,Wet
"4/24/18, 12:30 PM",,,,15,Wet
"4/24/18, 3:30 PM",,,,15,Wet
"4/24/18, 5:00 PM",,,,15,Mixed
"4/24/18, 6:30 PM",,,,15,Wet
"4/25/18, 7:00 AM",,,,15,Wet
"4/25/18, 9:47 AM",,,,15,Wet
"4/25/18, 11:30 AM",,,,15,Wet
"4/25/18, 12:30 PM",,,,15,Mixed
"4/25/18, 2:30 PM",,,,15,Wet
"4/25/18, 4:30 PM",,,,15,Wet
"4/25/18, 5:00 PM",,,,15,Mixed
"4/25/18, 6:15 PM",,,,15,Wet
"4/26/18, 6:50 AM",,,,15,Wet
"4/26/18, 11:00 AM",,,,15,Wet
"4/26/18, 1:30 PM",,,,15,Wet
"4/26/18, 3:30 PM",,,,15,Wet
"4/26/18, 6:15 PM",,,,15,Wet
"4/27/18, 7:17 AM",,,,15,Wet
"4/27/18, 12:14 PM",,,,15,Mixed
"4/27/18, 7:55 PM",,,,15,Wet
"4/28/18, 6:16 AM",,,,15,Wet
"4/28/18, 7:39 AM",,,,15,Mixed
"4/28/18, 11:08 AM",,,,15,Wet
"4/28/18, 7:49 PM",,,,15,Wet
"4/29/18, 7:31 AM",,,,15,Wet
"4/29/18, 11:50 AM",,,,15,Wet
"4/29/18, 1:43 PM",,,,15,Mixed
"4/29/18, 7:39 PM",,,,15,Wet
"4/30/18, 6:55 AM",,,,15,Wet
"4/30/18, 10:30 AM",,,,15,Wet
"4/30/18, 11:30 AM",,,,15,Wet
"4/30/18, 1:30 PM",,,,15,Wet
"4/30/18, 3:30 PM",,,,15,Wet
"4/30/18, 5:00 PM",,,,15,Wet
"4/30/18, 7:44 PM",,,,15,Wet
